127.0.0.1 - - [31/Dec/2024:00:02:23 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:24 +0530] "GET /FoodApplication/login.jsp HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:34 +0530] "POST /FoodApplication/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:34 +0530] "GET /FoodApplication/GetAllRestaurants HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:34 +0530] "GET /FoodApplication/home.jsp HTTP/1.1" 200 6442
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:34 +0530] "GET /images/lucknowi_zaika.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:39 +0530] "GET /FoodApplication/MenuServlet?restaurantId=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:39 +0530] "GET /FoodApplication/menu.jsp HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:46 +0530] "GET /FoodApplication/CartServlet?action=add&itemId=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:46 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:46 +0530] "GET /placeholder.svg?height=80&width=80&text=%F0%9F%8D%95 HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:49 +0530] "POST /FoodApplication/CartServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:49 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:49 +0530] "GET /placeholder.svg?height=80&width=80&text=%F0%9F%8D%95 HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:57 +0530] "GET /FoodApplication/MenuServlet?restaurantId=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:02:57 +0530] "GET /FoodApplication/menu.jsp HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:03:03 +0530] "GET /FoodApplication/CartServlet?action=add&itemId=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:03:03 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 3461
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:03:03 +0530] "GET /placeholder.svg?height=80&width=80&text=%F0%9F%8D%95 HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:03:05 +0530] "POST /FoodApplication/CartServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:03:05 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 3461
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:03:05 +0530] "GET /placeholder.svg?height=80&width=80&text=%F0%9F%8D%95 HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:03:10 +0530] "GET /FoodApplication/checkout.jsp HTTP/1.1" 200 4940
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:03:24 +0530] "POST /FoodApplication/Checkout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:03:24 +0530] "GET /FoodApplication/orderConfirmation.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:03:30 +0530] "GET /FoodApplication/GetAllRestaurants HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:03:30 +0530] "GET /FoodApplication/home.jsp HTTP/1.1" 200 6442
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:03:30 +0530] "GET /images/lucknowi_zaika.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:04:55 +0530] "GET /FoodApplication/MenuServlet?restaurantId=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:04:55 +0530] "GET /FoodApplication/menu.jsp HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:04:56 +0530] "GET /FoodApplication/menu_images/alootikki.jpg HTTP/1.1" 200 12054
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:04:56 +0530] "GET /FoodApplication/menu_images/panipoori.jpg HTTP/1.1" 200 374594
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:04:57 +0530] "GET /FoodApplication/CartServlet?action=add&itemId=7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:04:57 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:04:58 +0530] "GET /placeholder.svg?height=80&width=80&text=%F0%9F%8D%95 HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:05:02 +0530] "POST /FoodApplication/CartServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:05:02 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:05:04 +0530] "GET /FoodApplication/checkout.jsp HTTP/1.1" 200 4940
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:05:15 +0530] "POST /FoodApplication/Checkout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:05:15 +0530] "GET /FoodApplication/menu.jsp HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:05:19 +0530] "GET /FoodApplication/CartServlet?action=add&itemId=7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:05:19 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:05:19 +0530] "GET /placeholder.svg?height=80&width=80&text=%F0%9F%8D%95 HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:05:22 +0530] "POST /FoodApplication/CartServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:00:05:22 +0530] "GET /FoodApplication/cart.jsp HTTP/1.1" 200 1158
